date,hour,u10,v10,blh,sp,tp,z,z850,z500,t500,t2m,t850,u850,v850,u500,v500
2025-01-03,16:00,-1.3179998,-0.68937683,76.40558,99807.81,0.0,1411.3127,14256.758,54123.9,250.1235,279.7461,274.27338,-1.0156984,-2.2572775,9.265958,-20.028366
2025-01-03,17:00,-1.4925175,-0.9263067,69.023254,99911.75,0.0,1411.3127,14310.079,54228.887,250.31995,278.3811,273.7386,-0.91325665,-2.1321745,10.660269,-17.508713
2025-01-03,18:00,-1.7281532,-0.73124695,76.16759,99991.375,0.0,1411.3127,14342.805,54317.535,250.45245,278.03735,273.232,-0.6902752,-2.57312,12.519047,-15.617996
2025-01-03,19:00,-1.5754852,-0.8490381,65.23003,100062.0,3.813766e-07,1411.3127,14374.002,54378.28,250.50691,277.81787,272.85156,-0.33664894,-3.074751,12.795184,-14.960007
2025-01-03,20:00,-1.9482784,-1.0742722,48.488945,100121.19,0.0,1411.3127,14405.979,54423.227,250.48909,277.70288,272.66638,-0.29263496,-3.7513666,13.343714,-13.761219
2025-01-03,21:00,-1.6634941,-1.1274242,35.542336,100180.625,3.8146973e-06,1411.3127,14445.375,54475.66,250.44794,276.63794,272.68262,-0.3254757,-3.7202625,14.523501,-12.434628
2025-01-03,22:00,-1.6694002,-1.5130463,41.876633,100248.94,4.578382e-06,1411.3127,14486.681,54509.914,250.78879,276.27832,272.1242,0.6695385,-4.227723,15.783157,-11.0735
2025-01-03,23:00,-1.1540518,-1.6528349,34.500763,100231.31,6.1020255e-06,1411.3127,14467.446,54540.824,250.72809,276.64526,272.9626,1.0619478,-2.8341427,15.055245,-10.729782
2025-01-04,00:00,-0.69230556,-1.8645811,55.385117,100222.44,4.9583614e-06,1411.3127,14450.703,54543.914,250.47316,276.58008,272.98102,1.6657476,-2.2871208,14.913864,-9.767583
2025-01-04,01:00,-0.82440186,-1.6384344,47.090134,100202.875,5.3402036e-06,1411.3127,14425.25,54525.27,250.26723,275.27295,272.7408,1.4144719,-1.7626486,14.097815,-8.925857
2025-01-04,02:00,-0.6597872,-1.0056267,43.45706,100247.375,4.1965395e-06,1411.3127,14451.748,54544.92,250.13309,275.34155,272.4485,1.1725582,-1.2461433,13.087843,-8.337544
2025-01-04,03:00,-0.55410385,-1.2085571,42.11203,100268.125,1.10622495e-05,1411.3127,14456.013,54547.426,250.05768,275.3047,272.38815,1.2435402,-0.66843414,12.176714,-7.8300724
2025-01-04,04:00,-0.64334583,-1.7103987,52.345154,100264.81,1.1825934e-05,1411.3127,14442.851,54530.184,249.97607,275.458,272.4331,1.4883981,-0.29609203,11.272302,-6.9582186
2025-01-04,05:00,-0.7408085,-1.7602606,62.109955,100312.56,9.156764e-06,1411.3127,14470.829,54548.57,249.91414,275.48047,272.46204,1.5127816,0.18937719,10.82086,-5.3951025
2025-01-04,06:00,-0.67902565,-1.4782305,59.533142,100338.19,1.5642494e-05,1411.3127,14481.98,54542.516,249.99759,275.40698,272.27826,1.1613755,0.65251833,10.969561,-3.985032
2025-01-04,07:00,-0.4956751,-1.3502741,56.92364,100412.81,5.942583e-05,1411.3127,14531.51,54564.1,250.2609,275.44385,272.01093,1.0867782,0.97817504,11.631838,-3.6483374
2025-01-04,08:00,-0.86091423,-1.7108068,66.83725,100456.25,2.0124018e-05,1411.3127,14559.121,54585.367,250.66232,275.68555,271.7655,0.7138611,1.0696124,12.935509,-4.083144
2025-01-04,09:00,-1.213644,-1.4563694,138.89561,100509.625,1.5355647e-05,1411.3127,14595.808,54636.95,251.388,276.7693,271.47455,0.29811096,1.1399419,15.026168,-5.461484
2025-01-04,10:00,-1.5984526,-1.0552568,295.74274,100582.0,2.0697797e-05,1411.3127,14615.391,54666.1,252.28041,276.78772,270.59473,0.9816103,0.83388656,16.89656,-7.9646053
2025-01-04,11:00,-1.919466,-0.55328274,384.0542,100564.94,2.0504414e-05,1411.3127,14591.763,54690.254,253.5829,277.77832,270.01074,-0.26018906,0.8038564,19.43457,-12.157256
2025-01-04,12:00,-1.4787216,-0.17607021,446.97626,100519.56,2.2219296e-05,1411.3127,14558.085,54679.0,253.806,278.5669,270.01062,0.07807922,1.308897,20.72609,-13.271618
2025-01-04,13:00,-1.3421345,-0.15425205,422.98547,100450.69,2.5079054e-05,1411.3127,14504.727,54665.37,254.11938,278.70898,270.26147,0.9486475,1.8988941,21.565079,-14.249953
2025-01-04,14:00,-1.164547,0.03742981,531.88586,100427.0,3.5471254e-05,1411.3127,14491.785,54701.992,254.604,278.7943,270.32898,2.199586,2.1269984,22.387192,-16.275925
2025-01-04,15:00,-0.51520824,-0.011636734,229.75717,100399.06,3.4517776e-05,1411.3127,14471.11,54743.695,255.11281,278.66333,270.24298,2.9287786,2.3916075,21.315918,-18.112076
2025-01-04,16:00,-0.53574085,-0.42230606,125.20172,100389.875,1.3922574e-05,1411.3127,14465.41,54781.562,254.97415,278.2799,270.13013,3.2513237,2.3244166,20.399246,-16.20337
2025-01-04,17:00,-0.4455328,-0.87698746,51.465866,100404.375,4.1961066e-06,1411.3127,14480.44,54844.273,254.97682,276.76953,270.07825,3.5145035,2.7217522,20.096863,-14.495807
2025-01-04,18:00,-0.3793764,-0.9673805,48.45482,100401.94,2.8608993e-06,1411.3127,14480.606,54891.97,255.57246,276.01294,270.0631,3.738617,3.3056562,20.848114,-14.937006
2025-01-04,19:00,-0.47378635,-1.0591412,42.964127,100412.69,2.4999608e-05,1411.3127,14489.552,54953.01,256.05362,275.0127,270.08636,4.0657024,3.6124277,22.768173,-14.783684
2025-01-04,20:00,-0.5211897,-1.2004118,46.135223,100383.875,4.302041e-05,1411.3127,14464.748,54996.676,256.15985,275.05176,270.12848,3.6204147,3.4505978,23.118423,-12.3872
2025-01-04,21:00,-0.34358692,-1.1259022,45.221893,100349.0,2.6898342e-05,1411.3127,14436.272,55009.21,256.62772,275.47534,270.08643,3.6053274,3.5038946,21.313553,-9.46714
2025-01-04,22:00,-0.21883106,-0.5651779,47.69034,100387.81,1.0493527e-05,1411.3127,14450.273,55083.203,256.85724,275.7671,270.03217,1.4202356,2.7873058,22.790573,-7.9171066
2025-01-04,23:00,1.0749664,-0.101490974,38.181305,100311.125,6.5130975e-05,1411.3127,14380.393,55078.05,257.5736,275.9265,269.89014,1.418993,2.6938171,22.676254,-9.393164
2025-01-05,00:00,1.3796107,-0.7389431,58.144577,100245.44,0.00018055216,1411.3127,14335.965,55053.1,257.09058,276.1277,270.11023,2.915427,4.6714277,22.544907,-14.707642
2025-01-05,01:00,0.79392415,-1.5752039,72.557556,100250.25,3.4527126e-05,1411.3127,14348.801,55078.082,257.32376,276.20874,270.36707,4.341294,5.5269876,21.148254,-11.795325
2025-01-05,02:00,0.3984729,-1.3370275,65.65306,100186.25,5.2450887e-06,1411.3127,14300.579,55094.46,257.47784,276.18506,270.42377,4.671997,5.568759,20.677536,-8.929936
2025-01-05,03:00,0.64860076,-0.9960871,52.190094,100125.81,8.595451e-07,1411.3127,14261.412,55098.734,257.50262,276.17822,270.4776,5.375223,5.279541,20.722198,-6.131441
2025-01-05,04:00,0.704706,-0.88268375,50.0166,100075.375,3.078824e-09,1411.3127,14231.394,55086.875,257.53885,276.19995,270.7362,5.8105373,4.905644,19.202362,-4.5771914
2025-01-05,05:00,0.63448644,-0.59194946,42.578415,100047.5,3.8637558e-07,1411.3127,14218.746,55086.676,257.19046,276.23267,270.997,5.781749,4.723511,17.540726,-3.0982018
2025-01-05,06:00,0.79685116,-0.27190685,38.925583,100054.5,1.9228128e-06,1411.3127,14231.747,55097.125,256.5613,276.19678,271.22296,5.877855,5.063978,16.040554,-1.0607815
2025-01-05,07:00,0.8769885,-0.34513187,41.954994,100062.25,2.862157e-05,1411.3127,14244.733,55112.273,256.2682,276.1582,271.57043,6.0575686,5.2747154,15.850007,0.500782
2025-01-05,08:00,1.0942893,-0.49552917,47.06867,100052.875,2.4903566e-06,1411.3127,14247.1875,55129.566,256.51044,275.02832,272.04407,6.2516356,5.54267,16.027115,0.7883028
2025-01-05,09:00,0.8685197,-0.4741001,74.58862,100059.56,1.15484e-07,1411.3127,14263.646,55162.062,256.63712,277.68823,272.5586,6.497052,5.8345523,15.551998,0.22889733
2025-01-05,10:00,0.61021423,0.23061562,174.94908,100135.75,2.1606684e-07,1411.3127,14271.3125,55212.453,256.46997,277.11243,272.2898,4.90407,8.159339,15.170821,2.0001204
2025-01-05,11:00,0.75257707,1.4037807,245.23277,100125.69,2.2351742e-08,1411.3127,14265.021,55175.06,256.1518,277.5066,271.90198,3.9103308,7.0605927,15.163382,3.0193624
2025-01-05,12:00,0.76733553,1.127183,260.83038,100079.56,1.7471611e-06,1411.3127,14240.557,55100.4,255.65483,277.77075,272.12506,4.94855,6.8746853,15.161089,1.9519911
2025-01-05,13:00,0.8570685,0.33181286,269.18628,100037.56,4.027039e-06,1411.3127,14214.581,55074.8,255.5786,277.74652,272.04907,5.030122,5.708263,14.8764305,1.9873552
2025-01-05,14:00,0.9308834,0.10367769,254.44756,99982.56,1.7758459e-05,1411.3127,14180.479,55047.246,255.58392,277.8022,272.15393,4.5707483,4.8487616,15.138721,2.3753262
2025-01-05,15:00,0.87710154,0.08594799,210.92656,99934.56,5.5469573e-06,1411.3127,14155.658,55037.11,255.5594,277.7437,272.66687,4.6538324,5.4615903,15.170207,2.2019873
2025-01-05,16:00,0.64986736,0.00116539,138.50331,99936.44,1.0341406e-05,1411.3127,14171.154,55050.0,255.53339,277.505,273.06384,5.2048597,6.379033,14.794732,2.1059837
2025-01-05,17:00,0.559761,-0.072052,54.65567,99946.19,1.5381724e-05,1411.3127,14192.65,55051.777,255.49892,277.29944,273.22156,5.6682043,7.473214,14.318353,2.6763363
2025-01-05,18:00,0.5168557,-0.10377121,41.88852,99954.625,7.841736e-06,1411.3127,14210.033,55039.277,255.52429,276.92456,273.4303,6.256134,8.57766,13.905792,3.885357
2025-01-05,19:00,0.3051387,-0.1920681,38.53415,99956.19,1.2241304e-05,1411.3127,14222.238,55035.848,255.61925,276.69934,273.6223,6.642558,9.139,13.99942,5.1623898
2025-01-05,20:00,0.15858853,-0.14645672,41.637558,99927.56,6.713306e-06,1411.3127,14208.355,55007.395,255.74936,276.8175,273.69885,6.577651,9.33199,14.525358,6.3723383
2025-01-05,21:00,0.14672148,-0.008412361,43.70636,99907.25,8.240509e-06,1411.3127,14202.123,54982.242,255.80566,276.65454,273.7058,6.3508673,9.453842,15.395901,7.749798
