Date,Hour,R_S_M,G_S_M,B_S_M,R_G_M,G_G_M,B_G_M,PM25,T2M,U_10,V_10,TP,SP,GP,BLH,T_500,U_500,V_500,GP_500,T_850,U_850,V_850,GP_850
09/02/2025,20:00,87.99188953,107.7017793,121.7392188,62.86845208,79.29083333,86.76310625,26.339893,279.5829,0.47108436,0.12971097,0.000166971,101085,1411.3127,33.49315,248.87718,5.777215,2.3228931,55120.13,273.71432,-1.743228,3.2742143,15209.957
09/02/2025,21:00,80.33031129,97.01408067,113.7238881,77.09115729,97.2524125,114.5685615,24.227987,279.54163,0.5094483,0.17437184,0.00014046,101102.94,1411.3127,35.711174,249.15002,5.9310646,0.3568182,55140.89,273.7768,-1.5381403,3.2772627,15227.087
09/02/2025,22:00,85.27969598,103.6581286,117.5601793,67.02304271,83.85744688,92.10313333,24.745649,279.3473,0.8692929,0.2889284,0.000111183,101081.69,1411.3127,48.802666,249.387,7.558923,0.59916115,55128.49,273.70776,-2.6035147,3.2126336,15198.887
09/02/2025,23:00,86.620086,105.4468326,120.5362294,64.58082917,81.54452917,89.63770521,25.744995,279.41736,0.9514977,-0.008171976,0.000110906,101057,1411.3127,47.46123,249.7377,7.8335648,-0.091609955,55134.566,274.08908,-1.8872547,3.5708275,15182.767
10/02/2025,04:00,83.23389656,100.419157,113.3912742,68.83634792,86.54887083,99.23377813,31.551815,279.44873,0.7615322,-0.21263027,3.54E-05,100874.19,1411.3127,48.008297,249.58116,10.51189,-1.072339,54994.445,274.26236,0.48291397,3.2175822,15055.558
10/02/2025,05:00,84.1950109,100.8127241,114.4327919,71.47521458,89.65351875,103.606325,29.256432,279.46704,0.55871207,-0.1540699,2.64E-05,100840.81,1411.3127,42.146576,249.53685,10.766742,-2.940773,54985.715,274.3103,0.6763115,3.339811,15033.392
10/02/2025,06:00,85.85960271,104.7769004,120.3037924,68.49957083,85.20879063,94.44220833,31.384129,279.43274,0.6300881,-0.03987789,2.62E-05,100843.19,1411.3127,38.41152,249.58678,11.081587,-5.1752863,55002.105,274.2704,0.8105469,3.42476,15034.239
10/02/2025,07:00,87.22614341,112.6352192,143.0634205,69.19624688,83.34038125,82.02035313,35.705147,279.4486,0.8218108,-0.15922982,4.73E-05,100860.69,1411.3127,40.065693,249.55167,11.606312,-6.2662067,55024.273,274.152,1.1226883,3.3819678,15045.894
10/02/2025,08:00,126.8632764,162.9130378,196.4209436,50.954225,63.91508125,75.23249167,31.806828,279.7528,0.9608024,-0.33765,4.67E-05,100879.5,1411.3127,48.17105,249.3979,12.087562,-6.2057476,55052.52,274.02805,1.4791889,3.3037739,15060.35
10/02/2025,09:00,132.8810962,167.3530766,199.2901696,50.62700521,63.92459688,75.25127917,32.143406,280.10522,0.69595635,-0.16738331,1.81E-05,100897.44,1411.3127,76.62596,249.3657,12.3160925,-6.3003683,55088.43,273.89163,1.7537451,3.1641073,15078.53
10/02/2025,10:00,123.1992963,157.6541546,190.0527435,52.25211458,65.194075,76.47358021,33.998997,280.7539,1.1009514,0.5298927,6.29E-06,100897.81,1411.3127,199.63887,249.53693,11.743124,-5.100298,55126.07,273.89075,0.9049568,0.71669006,15093.777
10/02/2025,11:00,133.6643883,168.2840346,198.5024818,50.11929688,64.02025208,75.33248542,28.373457,281.31995,0.51686287,1.10161,4.48E-06,100878.625,1411.3127,310.48035,249.51122,11.861868,-3.5019932,55153.746,273.91785,0.24725533,1.9969531,15080.387
10/02/2025,12:00,129.5608442,163.6935053,194.7455208,45.50618438,57.51524688,67.24008438,33.349266,282.29968,0.87411475,0.62202847,8.01E-06,100835.81,1411.3127,241.6379,249.65744,11.5750475,-3.3908825,55122.25,274.10052,0.62581635,2.0220642,15051.601
10/02/2025,13:00,129.0097347,163.3311107,194.0526223,45.37725,55.11273958,61.99201458,26.01395,283.1891,0.68874323,-0.040905237,1.53E-06,100785.81,1411.3127,258.47943,249.58095,11.22614,-3.4806652,55116.5,274.26917,0.7356615,2.1755793,15015.471
