time,R_roi,G_roi,B_roi,R_std,G_std,B_std,S_mean,V_mean,colorfulness,sky_brightness,contrast,gray_entropy,laplacian_variance,mean_gradient_magnitude,local_contrast,B_R_ratio,dark_pixel_ratio,sky_luminance_gradient,image_path,PM25,Unit,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max
2026-03-13 19:00:00,78.11818599897802,97.11907000510986,120.73916198262648,34.15352900604614,34.114782311412135,38.55957645574473,0.3690736239072504,0.4771263137856062,30.772649696910698,0.4845448916408669,34.047798205635736,6.764364933711069,3656.579267518395,11.11829644797355,19.655028076588497,1.54559605926602,0.0682933060807358,20.90133163882119,data/raw/images/20260313-2000.jpg,24.760883,ug.m-3,285.96307,280.6159,69.95112178543374,-1.7802582,-0.09542847,99746.69,0.0,91.782776,0.78790283,1075.7075,1.7828140260705212,54561.254,14279.324,251.23944,276.6601,9.819397,2.064743,1.0403442,4.9893646,14.9,122.0,58.2,1.6,3.7
2026-03-13 20:00:00,79.5564997445069,99.03026571282577,125.66222278998468,30.046508004114443,30.934342896617228,38.05253347140863,0.3740533119600158,0.4959043153285841,32.82108464913621,0.5115027603274318,30.818495357105,6.709199544737069,2914.0980305284406,10.37989518748942,18.06200947106346,1.5795343135257394,0.0570107307102708,12.963873551728774,data/raw/images/20260313-2100.jpg,25.312267,ug.m-3,284.78455,280.56622,75.33018785321849,-1.5849152,0.044204712,99719.4,5.340576e-05,81.24816,0.97109985,1138.714,1.5855315347712395,54513.3,14249.039,251.05473,276.52234,9.777679,1.4728546,1.5706482,5.1190033,14.2,105.0,63.5,1.2,3.4
2026-03-13 21:00:00,80.61519161982626,98.93668369954013,123.80264179867144,27.738039331109103,28.33167456374045,34.62071594553544,0.3565320520700573,0.4882821645776348,29.679185905389296,0.5111613814662297,28.298451630673465,6.587739278057882,3120.9103499326725,10.151247442696244,17.010336220269522,1.5357234508204074,0.045891670924885,13.202432066604938,data/raw/images/20260313-2200.jpg,27.243448,ug.m-3,284.70782,281.13086,78.68254738339901,-1.743042,0.17198181,99688.69,2.527237e-05,70.42737,0.9593506,1093.7274,1.7515059682270215,54463.785,14209.699,250.91197,276.57196,10.204361,1.4372711,2.2537842,5.1387787,14.2,106.0,63.4,1.5,3.2
2026-03-13 22:00:00,77.99071027082269,96.3098773633112,121.7418037812979,28.042086873758585,28.628261360562043,34.54935836643381,0.3671949082179486,0.4802169988076988,30.539900963367582,0.4981727133367399,28.490423350610524,6.554960460910562,3032.5034619329076,10.150640691439431,17.084112622097862,1.56097824724985,0.0539550332141032,12.555467910655166,data/raw/images/20260313-2300.jpg,23.54897,ug.m-3,284.64737,280.69006,76.66140509478406,-1.5861816,0.017471313,99613.46,2.861023e-06,72.98298,0.9673462,1066.9884,1.5862778177092762,54346.664,14154.852,250.79358,276.27432,12.726471,1.04393,4.078659,4.2613525,14.0,112.0,63.9,1.5,3.4
2026-03-14 03:00:00,89.43544200306592,106.80530914665304,127.06728155339806,26.25595500249095,26.91661009958202,33.42170810767879,0.3030649732252042,0.5004515715330589,25.566433405403934,0.5300031059945696,27.005559638664423,6.598504623444693,1647.418492991354,8.141840068947262,13.533652863919697,1.4207709749818325,0.0325038323965252,7.974284775875188,data/raw/images/20260314-0400.jpg,-9999.0,ug.m-3,283.9621,279.97394,76.38862125762559,-2.356018,-0.51135254,99228.28,5.531311e-05,147.88454,0.9532776,624.22406,2.410871675657676,53902.383,13749.4375,250.70604,276.0916,14.237122,3.0772858,3.6392365,7.8425446,12.4,101.0,71.1,2.0,5.6
2026-03-14 04:00:00,87.02670924885028,103.10698007153808,122.1329994890138,29.025277813045253,29.916012588987137,35.613535998153466,0.3000995602791434,0.4819089242237519,25.44729600744896,0.5155801496888994,29.828080564620347,6.711141681899736,2074.279429153275,8.993732079285527,15.393801610965411,1.4033967173960515,0.0580378129790495,7.699856838895111,data/raw/images/20260314-0500.jpg,-9999.0,ug.m-3,283.61932,280.1548,79.12669938601766,-3.0762787,-0.42385864,99151.695,7.8201294e-05,187.53508,0.8462219,56.488297,3.105341653792114,53832.574,13678.973,250.53613,276.14658,13.155869,3.303955,4.9026794,10.480301,11.8,112.0,76.7,2.1,5.6
2026-03-14 05:00:00,86.75038323965254,104.19905467552375,131.7812723556464,24.264572843020577,24.17105990792784,31.59626249405411,0.3436744374431885,0.5181747172042039,29.01173204147681,0.5509244842546114,24.492655569818435,6.529619198007986,1381.298288026377,7.699772314460095,12.633067097319634,1.5190857482728104,0.0187583035258048,18.181053015113072,data/raw/images/20260314-0600.jpg,-9999.0,ug.m-3,282.859,280.0916,82.89288536228607,-3.6971283,-0.11193848,99058.484,5.1021576e-05,225.9137,0.84469604,47.013214,3.698822500467629,53743.816,13597.859,250.4166,276.0452,12.426056,3.1951141,6.07428,12.321396,10.5,76.0,90.2,2.5,5.1
2026-03-14 06:00:00,117.45205416453756,147.19053653551353,176.09776188042923,39.72341377658192,42.213626920348624,42.9695354774781,0.3523305890753271,0.6905819231116053,27.325804101246703,0.8053740118428567,41.36944185827779,6.9012683904069,805.2659046546959,4.50218013161,9.518655467639231,1.4993161391151089,0.0266428206438426,-6.8658246865725605,data/raw/images/20260314-0700.jpg,-9999.0,ug.m-3,282.5943,279.96564,83.65310902430785,-4.3190765,0.10295105,98999.23,4.1484833e-05,281.59763,0.9880676,45.290604,4.320303314762559,53668.402,13541.832,250.49039,275.85858,12.034332,2.8062897,6.925049,13.383377,10.3,78.0,89.7,3.0,6.7
2026-03-14 07:00:00,128.15144098109351,155.7289831374553,177.8271793561574,37.92773854001247,41.27342033810561,42.88349846547919,0.293565540304401,0.6974240283747632,24.543388741978543,0.813665855100344,40.302666861540224,6.567929744798725,1576.6698134421051,5.449251469551238,10.175403484319176,1.387633073862662,0.0185794583546244,-11.882514959374866,data/raw/images/20260314-0800.jpg,-9999.0,ug.m-3,282.9616,280.02954,81.97523007238765,-4.720825,0.14299011,98955.375,5.4359436e-05,348.13333,0.9880676,280.14526,4.72299003303869,53611.27,13503.277,250.5127,275.72482,11.583206,2.6605225,7.705261,14.05545,10.1,79.0,87.3,2.9,5.7
2026-03-14 08:00:00,110.41331630045988,141.6277721001533,168.53888605007666,37.75258809008797,44.78118948081307,50.392882041367216,0.3557733127970348,0.6616452753814863,33.57820337571206,0.793722324085485,43.04306145947471,6.9555513422983655,1599.4964190046296,6.114141385631333,12.63418074702884,1.5264362141338783,0.0437148696985181,-18.999335148092104,data/raw/images/20260314-0900.jpg,-9999.0,ug.m-3,284.45206,280.73962,77.92148124069351,-4.9452515,0.18203735,98920.28,0.0001077652,450.53345,0.99334717,268.4927,4.9486008118504845,53571.0,13477.672,250.45897,275.4731,10.613739,2.147461,9.396317,14.579224,11.0,81.0,79.5,3.0,7.1
